BoroughName,BoroughCode,Inner,TempAcc_Nos,TempAcc_Rate,TA_Placement_Nos,TA_Placements_Rate,Homeless_Nos,Homeless_Rate,Housed_Nos,Housed_Rate,Prop_Nos,Prop_Rate,Prop_Rank,MYE_Total_Pop_2021
Barking and Dagenham,E09000002,0,1286,588,231,106,1319,604,45,21,153,70,28,218534
Barnet,E09000003,0,2114,544,275,71,2038,524,87,22,1356,349,5,388639
Bexley,E09000004,0,784,318,129,52,656,266,64,26,253,103,24,246543
Brent,E09000005,0,831,245,699,206,2175,642,47,14,661,195,12,338918
Bromley,E09000006,0,1539,467,95,29,1031,313,74,22,102,31,31,329830
Camden,E09000007,1,647,308,123,58,873,415,22,10,665,316,8,210390
Croydon,E09000008,0,1904,488,820,210,2406,616,28,7,242,62,29,390506
Ealing,E09000009,0,2541,694,381,104,2620,716,266,73,1467,401,3,366127
Enfield,E09000010,0,3196,970,333,101,2689,816,118,36,643,195,11,329601
Greenwich,E09000011,0,1541,533,197,68,2048,708,144,50,141,49,30,289254
Hackney,E09000012,1,3004,1156,211,81,2023,778,51,20,589,227,10,259956
Hammersmith and Fulham,E09000013,1,1119,610,142,77,1025,559,35,19,456,249,9,183295
Haringey,E09000014,1,2492,943,298,113,2386,903,154,58,471,178,14,264130
Harrow,E09000015,0,1055,404,205,79,729,279,113,43,265,102,25,260987
Havering,E09000016,0,1006,384,118,45,2057,785,28,11,416,159,17,262022
Hillingdon,E09000017,0,866,284,300,98,1651,542,83,27,386,127,20,304792
Hounslow,E09000018,0,858,298,267,93,1077,374,49,17,304,106,23,287940
Islington,E09000019,1,1008,465,152,70,1776,819,62,29,951,439,2,216767
Kensington and Chelsea,E09000020,1,892,620,74,51,1088,756,55,38,23,16,32,143940
Kingston upon Thames,E09000021,0,912,543,39,23,344,205,22,13,539,321,7,167845
Lambeth,E09000022,1,2837,894,327,103,3214,1012,180,57,610,192,13,317498
Lewisham,E09000023,1,2720,907,406,135,2373,792,80,27,1111,371,4,299810
Merton,E09000024,0,338,157,125,58,608,282,56,26,230,107,22,215324
Newham,E09000025,1,5724,1633,349,100,1893,540,37,11,477,136,19,350626
Redbridge,E09000026,0,2957,954,461,149,891,288,13,4,233,75,27,309836
Richmond upon Thames,E09000027,0,518,265,32,16,385,197,0,0,338,173,15,195232
Southwark,E09000028,1,3520,1149,158,52,2964,967,1,0,376,123,21,306374
Sutton,E09000029,0,931,444,102,49,837,399,42,20,200,95,26,209517
Tower Hamlets,E09000030,1,2696,863,175,56,1940,621,27,9,2513,805,1,312273
Waltham Forest,E09000031,0,877,315,218,78,1757,632,10,4,457,164,16,278050
Wandsworth,E09000032,1,3213,978,159,48,1455,443,1,0,1139,347,6,328367
Westminster,E09000033,1,3003,1464,126,61,1573,767,113,55,301,147,18,205087
