Code,Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
K04000001,England and Wales,3.54,3.59,3.74,3.8,4,4.41,5.18,6.18,6.71,7.16,7.26,6.96,6.42,6.77,6.65,6.61,6.51,6.74,6.95,7.05,7.15,7.18,7.05,7.09,7.99,7.19
E92000001,England ,3.57,3.57,3.77,3.85,4.08,4.51,5.21,6.27,6.82,7.17,7.21,6.91,6.48,6.86,6.72,6.58,6.57,6.91,7.11,7.16,7.26,7.34,7.26,7.18,8.15,7.37
E12000001,North East,2.86,2.81,2.81,2.68,2.68,2.73,3.17,4.28,4.81,5.5,5.7,5.5,4.95,5.02,4.67,4.5,4.62,4.69,4.76,4.72,4.63,4.76,4.66,4.55,5,4.43
E12000002,North West,2.98,2.95,2.95,2.9,2.88,3.03,3.46,4.43,5.09,5.77,5.96,5.79,5.18,5.38,5.14,5.06,4.96,5.27,5.41,5.47,5.62,5.61,5.62,5.59,6.28,5.75
E12000003,Yorkshire and The Humber,3.1,3.02,3.08,3.01,3.02,3.1,3.66,4.71,5.29,5.94,6.2,5.94,5.25,5.59,5.33,5.19,5.21,5.53,5.55,5.63,5.73,5.81,5.71,5.64,6.31,5.73
E12000004,East Midlands,3.23,3.29,3.34,3.37,3.54,4.05,4.99,6.01,6.52,6.7,7.03,6.51,5.71,5.97,5.85,5.83,5.86,6.22,6.59,6.69,6.91,7.12,6.96,6.93,7.66,7.26
E12000005,West Midlands,3.47,3.41,3.53,3.53,3.75,4.28,5.05,5.98,6.42,6.76,6.97,6.64,6.01,6.38,6.13,5.99,6.05,6.4,6.49,6.54,6.68,6.92,6.91,6.87,7.57,7.05
E12000006,East,3.67,3.79,4.01,4.33,4.78,5.55,6.67,7.54,7.88,8.03,8.48,8.24,7.26,7.79,7.62,7.57,7.61,8.02,8.53,8.92,9.81,9.95,9.63,9.68,10.42,9.9
E12000007,London,3.96,4.28,4.72,5.24,5.99,6.85,7.59,8.07,8.21,8.43,8.85,9.04,7.99,8.62,9,8.96,9.27,10.1,11.38,12.8,13.27,13,12.97,12.58,13.54,12.82
E12000008,South East,4.24,4.42,4.67,5.08,5.58,6.4,7.51,8.15,8.45,8.69,8.92,8.71,7.73,8.45,8.41,8.25,8.49,8.9,9.34,10.08,10.61,10.81,10.4,10.31,11.22,10.69
E12000009,South West,3.98,4.04,4.35,4.66,5.19,5.91,7.16,8.06,8.34,8.57,8.94,8.73,7.71,8.21,7.95,7.83,7.84,8.12,8.41,8.6,8.85,9,8.86,8.87,9.87,9.22
W92000004,Wales,3.15,3.12,3.15,3.1,3.1,3.41,4,5.09,5.89,6.34,6.75,6.54,5.74,5.73,5.55,5.5,5.41,5.6,5.61,5.69,5.7,5.71,5.7,5.7,6.11,5.96
