Area_code,Area_name,"Owned: Owns outright 
(number)","Owned: Owns with a mortgage or loan or shared ownership
(number)","Rented: Social rented
(number)","Private rented or lives rent free 
(number)","Owned: Owns outright
(percent)","Owned: Owns with a mortgage or loan or shared ownership 
(percent)","Rented: Social rented
(percent)","Private rented or lives rent free
(percent)",owns_outright_rank,owns_withLoan_rank,rented_social_rank,rented_private_rank,top_category,,percentage
E09000001,City of London,1114,692,730,2378,22.7,14.1,14.9,48.4,2,4,3,1,rented_private,,48.4
E09000002,Barking and Dagenham,11130,21463,23273,18036,15.1,29,31.5,24.4,4,2,1,3,rented_social,,31.5
E09000003,Barnet,39083,40957,20034,48843,26.2,27.5,13.5,32.8,3,2,4,1,rented_private,,32.8
E09000004,Bexley,31210,35470,13977,14643,32.7,37.2,14.7,15.4,2,1,4,3,owns_mortgage,,37.2
E09000005,Brent,23933,23906,27876,42897,20.2,20.2,23.5,36.2,3,3,2,1,rented_private,,36.2
E09000006,Bromley,44794,49400,17926,23708,33,36.4,13.2,17.5,2,1,4,3,owns_mortgage,,36.4
E09000007,Camden,14780,13442,31250,33286,15.9,14.5,33.7,35.9,3,4,2,1,rented_private,,35.9
E09000008,Croydon,36992,48858,27371,39724,24.2,31.9,17.9,26,3,1,4,2,owns_mortgage,,31.9
E09000009,Ealing,30275,34197,23382,45803,22.7,25.6,17.5,34.3,3,2,4,1,rented_private,,34.3
E09000010,Enfield,31740,32926,20573,35684,26.2,27.2,17,29.5,3,2,4,1,rented_private,,29.5
E09000011,Greenwich,18473,30925,35327,29326,16.2,27.1,31,25.7,4,2,1,3,rented_social,,31
E09000012,Hackney,10263,18467,42945,34406,9.7,17.4,40.5,32.4,4,3,1,2,rented_social,,40.5
E09000013,Hammersmith and Fulham,12483,14815,24231,29715,15.4,18.2,29.8,36.6,4,3,2,1,rented_private,,36.6
E09000014,Haringey,18141,22707,26474,37769,17.3,21.6,25.2,35.9,4,3,2,1,rented_private,,35.9
E09000015,Harrow,26947,26750,9298,26647,30.1,29.8,10.4,29.7,1,2,4,3,owns_outright,,30.1
E09000016,Havering,34918,36437,13807,16114,34.5,36,13.6,15.9,2,1,4,3,owns_mortgage,,36
E09000017,Hillingdon,28994,34210,17613,28411,26.5,31.3,16.1,26,2,1,4,3,owns_mortgage,,31.3
E09000018,Hounslow,21761,27508,21618,32074,21.1,26.7,21,31.2,3,2,4,1,rented_private,,31.2
E09000019,Islington,11151,16169,38787,30389,11.6,16.8,40.2,31.5,4,3,1,2,rented_social,,40.2
E09000020,Kensington and Chelsea,13301,8566,18430,26587,19.9,12.8,27.6,39.8,3,4,2,1,rented_private,,39.8
E09000021,Kingston upon Thames,18519,21878,7244,17987,28.2,33.3,11,27.4,2,1,4,3,owns_mortgage,,33.3
E09000022,Lambeth,16180,30730,45243,42535,12,22.8,33.6,31.6,4,3,1,2,rented_social,,33.6
E09000023,Lewisham,18853,34321,35753,33466,15.4,28,29.2,27.3,4,2,1,3,rented_social,,29.2
E09000024,Merton,20695,25642,11599,23790,25.3,31.4,14.2,29.1,3,1,4,2,owns_mortgage,,31.4
E09000025,Newham,14695,23623,32390,44803,12.7,20.5,28,38.8,4,3,2,1,rented_private,,38.8
E09000026,Redbridge,27956,32248,11707,31803,27,31.1,11.3,30.7,3,1,4,2,owns_mortgage,,31.1
E09000027,Richmond upon Thames,24535,26386,9752,20031,30.4,32.7,12.1,24.8,2,1,4,3,owns_mortgage,,32.7
E09000028,Southwark,13879,27052,51991,37898,10.6,20.7,39.7,29,4,3,1,2,rented_social,,39.7
E09000029,Sutton,23400,30536,11667,16744,28.4,37.1,14.2,20.3,2,1,4,3,owns_mortgage,,37.1
E09000030,Tower Hamlets,9424,21602,43237,46276,7.8,17.9,35.9,38.4,4,3,2,1,rented_private,,38.4
E09000031,Waltham Forest,20817,31239,22099,28746,20.2,30.4,21.5,27.9,4,1,3,2,owns_mortgage,,30.4
E09000032,Wandsworth,24410,36424,26544,50014,17.8,26.5,19.3,36.4,4,2,3,1,rented_private,,36.4
E09000033,Westminster,15213,11444,26810,41349,16,12.1,28.3,43.6,3,4,2,1,rented_private,,43.6
